sample.ID	S	reference
HG02019	0.103360448263118	TRUE
HG02020	0.111563832457191	TRUE
HG02023	0.0966430362408733	TRUE
HG02025	0.0927817255368132	TRUE
HG02026	0.115540047108181	TRUE
HG02028	0.0955242147813102	TRUE
HG02029	0.12878411421162	TRUE
HG02031	0.103298367119215	TRUE
HG02032	0.0956673669489482	TRUE
HG02035	0.10041230462284	TRUE
HG02040	0.0967787775283853	TRUE
HG02047	0.103387675354214	TRUE
HG02048	0.126081003502098	TRUE
HG02049	0.10881404830523	TRUE
HG02050	0.098969345980555	TRUE
HG02051	0.158225055395272	TRUE
HG02052	0.152983011365554	TRUE
HG02053	0.179860216750766	TRUE
HG02054	0.147782961667113	TRUE
HG02057	0.0830235092806039	TRUE
HG02058	0.107751053624838	TRUE
HG02060	0.0996181409357366	TRUE
HG02061	0.105387330879104	TRUE
HG02064	0.0981490145686168	TRUE
HG02067	0.0925847634736342	TRUE
HG02069	0.0983995259541501	TRUE
HG02070	0.100974766252241	TRUE
HG02072	0.101391924701039	TRUE
HG02073	0.0971466073411545	TRUE
HG02075	0.108405182125162	TRUE
HG02076	0.0993876446031807	TRUE
HG02078	0.102139592426763	TRUE
HG02079	0.0981076361745571	TRUE
HG02081	0.0932576565102094	TRUE
HG02082	0.111071530700996	TRUE
HG02084	0.0913071556961635	TRUE
